"Institution","WebLink"
"National Defense University, Institute for National Strategic Studies","<a href=http://inss.ndu.edu/>RStudio</a>"
"Navy War College","<a href=https://usnwc.edu/Research-and-Wargaming/Research-Centers/Russia-Maritime-Studies-Institute>RStudio</a>"
"Army War College",""
"Air University, Air War College",""
"Marine Corps War College",""
"Foreign Military Studies Office",""
"Kennan Institute, Wilson Center","<a href=https://www.wilsoncenter.org/program/kennan-institute>RStudio</a>"
"Brookings",""
"Carnegie Endowment for International Peace","<a href=https://carnegieendowment.org/programs/russia/>RStudio</a>"
"Carnegie Endowment for International Peace",""
"Carnegie Endowment for International Peace",""
"Carnegie Endowment for International Peace",""
"Center for Budgetary and Strategic Analysis","<a href=https://csbaonline.org/>RStudio</a>"
"Center for the New American Security","<a href=https://www.cnas.org/research/transatlantic-security/russia>RStudio</a>"
"Center for Strategic and International Studies","<a href=https://www.csis.org/regions/russia-and-eurasia>RStudio</a>"
"Foreign Policy Research Institute","<a href=https://www.fpri.org/research/eurasia/>RStudio</a>"
"Atlantic Council","<a href=http://www.atlanticcouncil.org/programs/eurasia-center>RStudio</a>"
"Potomac Foundation","<a href=http://e8y.dcd.mwp.accessdomain.com/our-work/>RStudio</a>"
"Center for European Policy Analysis","<a href=https://www.cepa.org/>RStudio</a>"
"Center for Naval Analyses","<a href=https://www.cna.org/centers/>RStudio</a>"
"RAND","<a href=https://www.rand.org/international/cre.html>RStudio</a>"
"RAND","<a href=https://www.rand.org/international/cre.html>RStudio</a>"
"RAND","<a href=https://www.rand.org/international/cre.html>RStudio</a>"
"RAND","<a href=https://www.rand.org/international/cre.html>RStudio</a>"
"Institute for Defense Analysis","<a href=https://www.ida.org/>RStudio</a>"
"MITRE",""
"Harvard University, Davis Center","<a href=https://daviscenter.fas.harvard.edu/>RStudio</a>"
"Harvard University, Belfer Center for Science and International Affairs","<a href=https://www.belfercenter.org/>RStudio</a>"
"Columbia University, Harriman Institute for Russian, Eurasian, and East European Studies","<a href=https://harriman.columbia.edu/>RStudio</a>"
"Columbia University, Graduate School of International and Public Affairs","<a href=https://sipa.columbia.edu/>RStudio</a>"
"Indiana University, Russia and East European Institute","<a href=http://www.indiana.edu/~reeiweb/>RStudio</a>"
"Stanford University, Center for International Security and Cooperation",""
"Stanford University, Hoover Institution","<a href=https://www.hoover.org/>RStudio</a>"
"Georgetown University, Walsh School of Foreign Service",""
